row
ENST00000020926
ENST00000463592
ENST00000544049
ENST00000221992
ENST00000262209
ENST00000272895
ENST00000341998
ENST00000337929
ENST00000343225
ENST00000289429
ENST00000291759
ENST00000411976
ENST00000406725
ENST00000536262
ENST00000615230
ENST00000439706
ENST00000374619
ENST00000443173
ENST00000395754
ENST00000423335
ENST00000381294
ENST00000306176
ENST00000381923
ENST00000332427
ENST00000254488
ENST00000257575
ENST00000558583
ENST00000294484
ENST00000303415
ENST00000338305
ENST00000217957
ENST00000443700
ENST00000562532
ENST00000367721
ENST00000269141
ENST00000509205
ENST00000271417
ENST00000532592
ENST00000618464
ENST00000234961
ENST00000303177
ENST00000330883
ENST00000251287
ENST00000381655
ENST00000581982
ENST00000609713
ENST00000380588
ENST00000548892
ENST00000373093
ENST00000271751
ENST00000398640
ENST00000562435
ENST00000359440
ENST00000222248
ENST00000319374
ENST00000327259
ENST00000369111
ENST00000216211
ENST00000264031
ENST00000259455
ENST00000404377
ENST00000360929
ENST00000276570
ENST00000284674
ENST00000249016
ENST00000264246
ENST00000487694
ENST00000448616
ENST00000006724
ENST00000400590
ENST00000418331
ENST00000229708
ENST00000392549
ENST00000396776
ENST00000267889
ENST00000300433
ENST00000315987
ENST00000287773
ENST00000368184
ENST00000339997
ENST00000401766
ENST00000378053
ENST00000522656
ENST00000374472
ENST00000236877
ENST00000280481
ENST00000261275
ENST00000227348
ENST00000394973
ENST00000372956
ENST00000535225
ENST00000424778
ENST00000616673
ENST00000506939
ENST00000609571
ENST00000610913
ENST00000371968
ENST00000367282
ENST00000329905
ENST00000376503
